scenario,m,n,scheme,winner,H_total,H_mean,H_total_tactical,H_mean_tactical,avg_individual_gain_over_tactics,avg_delta_H_total_over_tactics,tactical_options_total,risk_avg_gain_all_options,risk_fraction_change_winner,time_seconds,note
sv_poll_0_small.abif,4,41,plurality,2,28.666666666666668,0.6991869918699187,28.666666666666668,0.6991869918699187,0.0,0.0,0,0.0,0.0,0.041089489000114554,
sv_poll_0_small.abif,4,41,vote_for_two,2,28.666666666666668,0.6991869918699187,28.666666666666668,0.6991869918699187,0.0,0.0,0,0.0,0.0,0.04293027299991081,
sv_poll_0_small.abif,4,41,anti_plurality,2,28.666666666666668,0.6991869918699187,28.666666666666668,0.6991869918699187,0.0,0.0,0,0.0,0.0,0.04430302299988398,
sv_poll_0_small.abif,4,41,borda,2,28.666666666666668,0.6991869918699187,28.666666666666668,0.6991869918699187,0.0,0.0,0,0.0,0.0,0.04137826199985284,
sv_poll_11_large.abif,8,10,plurality,4,6.285714285714286,0.6285714285714286,9.142857142857142,0.9142857142857141,0.28571428571428564,-0.7142857142857144,10080,0.2857142857142879,0.2,7.853643892999571,
sv_poll_11_large.abif,8,10,vote_for_two,2,5.714285714285714,0.5714285714285714,10.0,1.0,0.4285714285714286,1.1428571428571432,25923,0.42857142857128766,0.3,8.0753683490002,
sv_poll_11_large.abif,8,10,anti_plurality,3,5.571428571428571,0.5571428571428572,9.499521991912811,0.9499521991912812,0.39280934204842394,0.7138537366069216,20173,0.39280934204853596,0.8,8.082941874000426,
sv_poll_11_large.abif,8,10,borda,7,6.857142857142858,0.6857142857142857,8.909357467083932,0.8909357467083932,0.20522146099410749,-0.5714285714285721,5067,0.20522146099408614,0.3,8.183817638000619,
sv_poll_14_large.abif,11,7,plurality,4,5.9,0.8428571428571429,5.9,0.8428571428571429,0.0,0.0,0,0.0,0.0,0.10376184699998703,m=11>max_m=8: compromising_burying permutation enumeration skipped (bullet only)
sv_poll_14_large.abif,11,7,vote_for_two,4,5.9,0.8428571428571429,5.9,0.8428571428571429,0.0,0.0,0,0.0,0.0,0.0014375400005519623,m=11>max_m=8: compromising_burying permutation enumeration skipped (bullet only)
sv_poll_14_large.abif,11,7,anti_plurality,0,4.9,0.7000000000000001,6.670588235294118,0.9529411764705883,0.2529411764705882,-0.5647058823529415,17,0.2529411764705883,1.0,0.0014009289998284657,m=11>max_m=8: compromising_burying permutation enumeration skipped (bullet only)
sv_poll_14_large.abif,11,7,borda,4,5.9,0.8428571428571429,5.9,0.8428571428571429,0.0,0.0,0,0.0,0.0,0.0013798370000586146,m=11>max_m=8: compromising_burying permutation enumeration skipped (bullet only)
